type,tank,feeble,defender,slowpoke
BUG,Vivillon,Vivillon,Vivillon,Vivillon
DARK,Yveltal,Yveltal,Yveltal,Yveltal
DRAGON,Zygarde,Zygarde,Zygarde,Zygarde
ELECTRIC,Dedenne,Dedenne,Dedenne,Dedenne
FAIRY,Xerneas,Xerneas,Xerneas,Xerneas
FIGHTING,Hawlucha,Hawlucha,Hawlucha,Hawlucha
FIRE,Pyroar,Pyroar,Pyroar,Pyroar
FLYING,Yveltal,Yveltal,Yveltal,Yveltal
GHOST,Gourgeist-Super Size,Gourgeist-Super Size,Gourgeist-Super Size,Gourgeist-Super Size
GRASS,Gourgeist-Super Size,Gourgeist-Super Size,Gourgeist-Super Size,Gourgeist-Super Size
GROUND,Zygarde,Zygarde,Zygarde,Zygarde
ICE,Avalugg,Avalugg,Avalugg,Avalugg
NORMAL,Heliolisk,Heliolisk,Heliolisk,Heliolisk
POISON,Dragalge,Dragalge,Dragalge,Dragalge
PSYCHIC,Malamar,Malamar,Malamar,Malamar
ROCK,Carbink,Carbink,Carbink,Carbink
STEEL,Klefki,Klefki,Klefki,Klefki
WATER,Clawitzer,Clawitzer,Clawitzer,Clawitzer
